mentee_id,priority_skills,priority_domain,priority_exp,priority_rating,w_skills,w_domain,w_exp,w_rating
mentee_2fd99ba4,2,2,5,5,0.1857,0.1857,0.3143,0.3143
mentee_691755fb,3,1,3,5,0.25,0.15,0.25,0.35
mentee_591cfc76,4,5,5,4,0.2333,0.2667,0.2667,0.2333
mentee_1822458c,5,3,4,1,0.3308,0.2385,0.2846,0.1462
mentee_a5f48c06,5,1,1,4,0.3727,0.1545,0.1545,0.3182
mentee_19790f5d,2,1,1,2,0.3,0.2,0.2,0.3
mentee_64c0ed42,3,2,3,3,0.2636,0.2091,0.2636,0.2636
mentee_e329ea65,2,1,3,2,0.25,0.175,0.325,0.25
mentee_8103404c,5,1,3,4,0.3308,0.1462,0.2385,0.2846
mentee_3e9edf95,1,5,5,2,0.1462,0.3308,0.3308,0.1923
mentee_0cbddf4b,5,4,2,5,0.2875,0.25,0.175,0.2875
mentee_a98b269d,3,1,4,4,0.25,0.15,0.3,0.3
mentee_fcf84044,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_4e68fc70,1,3,2,5,0.1545,0.2636,0.2091,0.3727
mentee_c19154ca,4,2,3,5,0.2714,0.1857,0.2286,0.3143
mentee_707a7983,5,5,2,2,0.3143,0.3143,0.1857,0.1857
mentee_e4837b9c,3,4,2,1,0.28,0.34,0.22,0.16
mentee_6c76075c,2,2,5,1,0.22,0.22,0.4,0.16
mentee_ab2524f6,4,1,4,3,0.3,0.15,0.3,0.25
mentee_7a514713,5,3,2,2,0.35,0.25,0.2,0.2
mentee_43113346,5,3,1,3,0.35,0.25,0.15,0.25
mentee_0a5e7fe0,4,2,1,2,0.3667,0.2333,0.1667,0.2333
mentee_3450432b,3,5,1,5,0.2286,0.3143,0.1429,0.3143
mentee_c3d24bde,3,4,5,5,0.2059,0.2412,0.2765,0.2765
mentee_87c35f7c,3,1,3,5,0.25,0.15,0.25,0.35
mentee_aad6d835,2,2,5,1,0.22,0.22,0.4,0.16
mentee_e11a8dfc,5,2,4,5,0.2875,0.175,0.25,0.2875
mentee_0cf8f7dd,5,4,1,3,0.3308,0.2846,0.1462,0.2385
mentee_f0feaab8,2,2,3,3,0.22,0.22,0.28,0.28
mentee_79d8cf01,3,3,2,5,0.2385,0.2385,0.1923,0.3308
mentee_41fd2ee6,5,4,5,1,0.3,0.26,0.3,0.14
mentee_eb85a908,1,3,4,2,0.16,0.28,0.34,0.22
mentee_c8b3548a,5,5,2,1,0.3308,0.3308,0.1923,0.1462
mentee_f4d127f3,3,4,1,4,0.25,0.3,0.15,0.3
mentee_8af85e14,3,5,3,1,0.25,0.35,0.25,0.15
mentee_6ca913a1,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_074bab06,4,4,1,3,0.3,0.3,0.15,0.25
mentee_2cca7944,2,3,5,1,0.2091,0.2636,0.3727,0.1545
mentee_d654f169,1,2,5,5,0.1462,0.1923,0.3308,0.3308
mentee_7fcc148b,1,1,2,2,0.2,0.2,0.3,0.3
mentee_826225b1,4,1,2,5,0.3,0.15,0.2,0.35
mentee_f752e37c,4,1,2,1,0.4,0.175,0.25,0.175
mentee_460cf53a,4,3,1,1,0.3667,0.3,0.1667,0.1667
mentee_c2ca462f,1,1,2,3,0.1857,0.1857,0.2714,0.3571
mentee_a57629dd,5,1,5,2,0.3308,0.1462,0.3308,0.1923
mentee_fb11b777,3,4,4,4,0.22,0.26,0.26,0.26
mentee_634af1da,4,4,3,1,0.3,0.3,0.25,0.15
mentee_8de0592b,4,1,5,1,0.3182,0.1545,0.3727,0.1545
mentee_375c8910,5,1,5,1,0.35,0.15,0.35,0.15
mentee_0c05b635,1,3,5,1,0.16,0.28,0.4,0.16
mentee_d77be40d,3,3,5,1,0.25,0.25,0.35,0.15
mentee_2d92ba8f,3,4,4,4,0.22,0.26,0.26,0.26
mentee_c936c0bc,1,4,2,5,0.15,0.3,0.2,0.35
mentee_1bc3eb49,2,2,4,5,0.1923,0.1923,0.2846,0.3308
mentee_1f5d1159,3,2,3,3,0.2636,0.2091,0.2636,0.2636
mentee_04a1c480,1,5,5,2,0.1462,0.3308,0.3308,0.1923
mentee_64b55d4e,1,1,1,5,0.175,0.175,0.175,0.475
mentee_ce6a04a0,5,4,5,5,0.2579,0.2263,0.2579,0.2579
mentee_3f90ce87,1,3,2,3,0.1667,0.3,0.2333,0.3
mentee_a3f6af87,2,4,5,2,0.1923,0.2846,0.3308,0.1923
mentee_a6c66051,2,2,2,5,0.2091,0.2091,0.2091,0.3727
mentee_d954754d,3,2,1,2,0.325,0.25,0.175,0.25
mentee_13b4f187,5,1,5,4,0.3,0.14,0.3,0.26
mentee_abd840bb,5,1,3,1,0.4,0.16,0.28,0.16
mentee_48e9a234,3,1,2,5,0.2636,0.1545,0.2091,0.3727
mentee_cfb095d1,4,3,3,2,0.3,0.25,0.25,0.2
mentee_0160c000,2,1,3,5,0.2091,0.1545,0.2636,0.3727
mentee_5628d3ba,1,2,3,4,0.16,0.22,0.28,0.34
mentee_3734c769,4,3,5,3,0.26,0.22,0.3,0.22
mentee_14f8127e,5,2,5,5,0.2765,0.1706,0.2765,0.2765
mentee_b7a969d9,3,3,4,2,0.25,0.25,0.3,0.2
mentee_9be5e831,1,3,2,2,0.175,0.325,0.25,0.25
mentee_8f6234ef,4,3,3,2,0.3,0.25,0.25,0.2
mentee_6c9886bc,3,4,4,4,0.22,0.26,0.26,0.26
mentee_59d9b6b1,3,3,4,5,0.22,0.22,0.26,0.3
mentee_e59d9698,1,2,5,1,0.1667,0.2333,0.4333,0.1667
mentee_89246e88,3,2,5,2,0.25,0.2,0.35,0.2
mentee_a1784a1d,3,1,1,1,0.4,0.2,0.2,0.2
mentee_04a3f2ad,5,1,5,5,0.2875,0.1375,0.2875,0.2875
mentee_99aefa09,4,5,2,1,0.3,0.35,0.2,0.15
mentee_7afd8bae,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_681566f7,4,2,3,4,0.2846,0.1923,0.2385,0.2846
mentee_95fbdd69,2,5,3,2,0.2,0.35,0.25,0.2
mentee_4090a3f3,4,5,5,1,0.26,0.3,0.3,0.14
mentee_9d3f300d,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_1a0ce7e6,2,5,2,5,0.1857,0.3143,0.1857,0.3143
mentee_0b0fd796,2,4,2,2,0.22,0.34,0.22,0.22
mentee_1bb0eb7c,5,5,2,4,0.2875,0.2875,0.175,0.25
mentee_49c75ad6,3,1,2,4,0.28,0.16,0.22,0.34
mentee_3b71a553,2,1,3,3,0.2333,0.1667,0.3,0.3
mentee_8d4bed95,2,1,2,5,0.22,0.16,0.22,0.4
mentee_213a24b4,3,4,4,4,0.22,0.26,0.26,0.26
mentee_c17b06fc,1,1,3,1,0.2,0.2,0.4,0.2
mentee_3e1121d5,5,3,3,5,0.2875,0.2125,0.2125,0.2875
mentee_2a51a66a,5,5,2,4,0.2875,0.2875,0.175,0.25
mentee_9c115fb1,4,3,5,1,0.2846,0.2385,0.3308,0.1462
mentee_e49766df,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_ac4ff834,5,4,3,3,0.3,0.26,0.22,0.22
mentee_62e6f40e,4,4,5,1,0.2714,0.2714,0.3143,0.1429
mentee_d9ebee1a,5,2,4,2,0.3308,0.1923,0.2846,0.1923
mentee_d7ed98e6,2,1,5,3,0.2091,0.1545,0.3727,0.2636
mentee_3860edf7,2,2,2,2,0.25,0.25,0.25,0.25
mentee_57edc3cd,3,5,1,2,0.2636,0.3727,0.1545,0.2091
mentee_0dc84856,4,3,1,4,0.3,0.25,0.15,0.3
mentee_294d7842,4,4,2,5,0.26,0.26,0.18,0.3
mentee_c2adb24e,2,4,1,2,0.2333,0.3667,0.1667,0.2333
mentee_1ebfc79b,1,2,5,5,0.1462,0.1923,0.3308,0.3308
mentee_10cb7a1b,2,2,5,1,0.22,0.22,0.4,0.16
mentee_8b15e823,5,2,1,2,0.4,0.22,0.16,0.22
mentee_d2515e54,3,2,5,4,0.2286,0.1857,0.3143,0.2714
mentee_937279ff,5,5,1,3,0.3143,0.3143,0.1429,0.2286
mentee_cb7e067a,1,2,4,5,0.15,0.2,0.3,0.35
mentee_40c08ba9,4,4,2,2,0.3,0.3,0.2,0.2
mentee_6cf53f74,4,5,2,5,0.25,0.2875,0.175,0.2875
mentee_eecf2980,2,5,5,3,0.18,0.3,0.3,0.22
mentee_507cf057,2,3,4,5,0.1857,0.2286,0.2714,0.3143
mentee_770ad066,5,1,2,4,0.35,0.15,0.2,0.3
mentee_7f0eea3f,4,2,1,1,0.4,0.25,0.175,0.175
mentee_41c4bd86,2,5,5,4,0.175,0.2875,0.2875,0.25
mentee_d6aff55f,2,5,1,2,0.22,0.4,0.16,0.22
mentee_6e975a4d,4,5,5,1,0.26,0.3,0.3,0.14
mentee_52c8fa30,5,5,1,1,0.35,0.35,0.15,0.15
mentee_bf831133,4,2,5,5,0.25,0.175,0.2875,0.2875
mentee_b857860b,1,4,5,4,0.1429,0.2714,0.3143,0.2714
mentee_b28a8770,3,1,5,4,0.2385,0.1462,0.3308,0.2846
mentee_4ab6fb67,2,4,4,3,0.1923,0.2846,0.2846,0.2385
mentee_5d97620c,5,5,1,4,0.3,0.3,0.14,0.26
mentee_4532e75f,2,3,4,2,0.2091,0.2636,0.3182,0.2091
mentee_54064f87,1,3,5,5,0.1429,0.2286,0.3143,0.3143
mentee_90c3cb5a,4,3,2,1,0.34,0.28,0.22,0.16
mentee_dda64bf7,1,5,5,1,0.15,0.35,0.35,0.15
mentee_2bc2335f,5,1,4,2,0.35,0.15,0.3,0.2
mentee_04622ea4,3,4,3,1,0.2636,0.3182,0.2636,0.1545
mentee_dfa19b11,2,4,5,3,0.1857,0.2714,0.3143,0.2286
mentee_d9e5b703,3,5,4,5,0.2059,0.2765,0.2412,0.2765
mentee_179e0028,3,5,3,4,0.22,0.3,0.22,0.26
mentee_e13db074,2,4,5,5,0.175,0.25,0.2875,0.2875
mentee_75bdc77b,4,2,3,5,0.2714,0.1857,0.2286,0.3143
mentee_60d09c27,5,4,3,3,0.3,0.26,0.22,0.22
mentee_2fc7d9de,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_51ce15cd,1,2,4,2,0.1667,0.2333,0.3667,0.2333
mentee_4f31e3bc,1,2,5,4,0.15,0.2,0.35,0.3
mentee_1b54fa87,3,5,5,1,0.2286,0.3143,0.3143,0.1429
mentee_4c1780e7,2,4,1,1,0.25,0.4,0.175,0.175
mentee_740f3b59,2,4,5,4,0.18,0.26,0.3,0.26
mentee_6095f665,1,1,3,2,0.1857,0.1857,0.3571,0.2714
mentee_7a9583a3,3,1,5,1,0.28,0.16,0.4,0.16
mentee_5f4d8e18,4,4,5,5,0.2333,0.2333,0.2667,0.2667
mentee_b9f912eb,3,5,1,2,0.2636,0.3727,0.1545,0.2091
mentee_496e7317,4,4,1,2,0.3182,0.3182,0.1545,0.2091
mentee_90fa67b6,5,3,2,1,0.3727,0.2636,0.2091,0.1545
mentee_6d9e855b,5,5,5,2,0.2765,0.2765,0.2765,0.1706
mentee_dfb98a67,5,2,1,3,0.3727,0.2091,0.1545,0.2636
mentee_195dd053,2,1,2,1,0.3,0.2,0.3,0.2
mentee_23ecb995,3,4,3,4,0.2286,0.2714,0.2286,0.2714
mentee_c8e4001c,4,5,2,5,0.25,0.2875,0.175,0.2875
mentee_1ff6ef81,1,1,1,5,0.175,0.175,0.175,0.475
mentee_b1b87d9c,3,5,5,3,0.2125,0.2875,0.2875,0.2125
mentee_78f9ac21,3,3,2,5,0.2385,0.2385,0.1923,0.3308
mentee_d510c8b8,2,4,4,5,0.18,0.26,0.26,0.3
mentee_8603d779,1,3,2,4,0.16,0.28,0.22,0.34
mentee_d5fd38b8,5,1,5,1,0.35,0.15,0.35,0.15
mentee_e346190d,5,3,3,1,0.35,0.25,0.25,0.15
mentee_e3a803f1,5,3,5,5,0.2667,0.2,0.2667,0.2667
mentee_de66a7a4,3,4,4,5,0.2125,0.25,0.25,0.2875
mentee_42d81b99,4,2,3,4,0.2846,0.1923,0.2385,0.2846
mentee_c0ebace0,4,5,1,4,0.2714,0.3143,0.1429,0.2714
mentee_4f2ba10f,1,3,1,4,0.1667,0.3,0.1667,0.3667
mentee_12f380c0,2,2,3,4,0.2091,0.2091,0.2636,0.3182
mentee_424c7715,3,5,5,1,0.2286,0.3143,0.3143,0.1429
mentee_bee4edc4,3,2,3,1,0.3,0.2333,0.3,0.1667
mentee_e669998b,4,3,1,5,0.2846,0.2385,0.1462,0.3308
mentee_9a6ccf9b,2,4,3,3,0.2,0.3,0.25,0.25
mentee_b91e1304,2,5,3,2,0.2,0.35,0.25,0.2
mentee_92976d06,2,4,2,2,0.22,0.34,0.22,0.22
mentee_a3bf9ba1,2,3,2,2,0.2333,0.3,0.2333,0.2333
mentee_2ac819c1,2,2,5,3,0.2,0.2,0.35,0.25
mentee_d09d681e,2,1,1,1,0.34,0.22,0.22,0.22
mentee_e6630e1c,4,5,1,5,0.26,0.3,0.14,0.3
mentee_f2e78e48,1,4,3,5,0.1462,0.2846,0.2385,0.3308
mentee_03a9ebe1,3,4,5,3,0.22,0.26,0.3,0.22
mentee_3f90ec52,4,2,5,3,0.2714,0.1857,0.3143,0.2286
mentee_a3e5bae1,4,2,5,2,0.2846,0.1923,0.3308,0.1923
mentee_434605df,1,5,4,4,0.1429,0.3143,0.2714,0.2714
mentee_b133ea44,5,1,5,3,0.3143,0.1429,0.3143,0.2286
mentee_c97e8f1c,4,2,4,1,0.3182,0.2091,0.3182,0.1545
mentee_9e7b9c2a,5,4,3,1,0.3308,0.2846,0.2385,0.1462
mentee_66fe7d9f,1,2,4,5,0.15,0.2,0.3,0.35
mentee_de80e29d,1,3,3,5,0.15,0.25,0.25,0.35
mentee_a79c25d1,3,2,5,3,0.2385,0.1923,0.3308,0.2385
mentee_40effae1,2,3,4,5,0.1857,0.2286,0.2714,0.3143
mentee_4d685ebb,3,3,2,4,0.25,0.25,0.2,0.3
mentee_1a1b95eb,4,2,4,3,0.2846,0.1923,0.2846,0.2385
mentee_ec18f5dd,3,4,3,4,0.2286,0.2714,0.2286,0.2714
mentee_9be7cacc,2,5,2,5,0.1857,0.3143,0.1857,0.3143
mentee_0f00ce94,2,1,3,2,0.25,0.175,0.325,0.25
mentee_43bc530c,5,4,4,2,0.3,0.26,0.26,0.18
mentee_6941a2eb,2,2,4,1,0.2333,0.2333,0.3667,0.1667
mentee_c865b8e8,2,4,4,2,0.2,0.3,0.3,0.2
mentee_bf836aab,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_fbbbe8d3,3,3,5,5,0.2125,0.2125,0.2875,0.2875
mentee_22c69940,1,4,1,2,0.175,0.4,0.175,0.25
mentee_bda36ee9,1,2,3,4,0.16,0.22,0.28,0.34
mentee_5ded2159,1,4,3,3,0.1545,0.3182,0.2636,0.2636
mentee_ec25db7d,3,3,5,5,0.2125,0.2125,0.2875,0.2875
mentee_8fd26abe,3,3,1,4,0.2636,0.2636,0.1545,0.3182
mentee_29966a03,1,3,5,2,0.1545,0.2636,0.3727,0.2091
mentee_d7323e7f,5,5,5,2,0.2765,0.2765,0.2765,0.1706
mentee_af285b77,3,3,3,5,0.2286,0.2286,0.2286,0.3143
mentee_ab08b36f,4,4,1,4,0.2846,0.2846,0.1462,0.2846
mentee_7c78fd76,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_78dd6336,2,3,4,5,0.1857,0.2286,0.2714,0.3143
mentee_679a23d9,5,4,1,1,0.3727,0.3182,0.1545,0.1545
mentee_cd485a02,2,3,2,3,0.22,0.28,0.22,0.28
mentee_d4844df0,3,3,3,5,0.2286,0.2286,0.2286,0.3143
mentee_12f995cd,4,3,4,3,0.2714,0.2286,0.2714,0.2286
mentee_1910d5b3,5,5,4,4,0.2667,0.2667,0.2333,0.2333
mentee_ee44c9e9,2,2,1,2,0.2714,0.2714,0.1857,0.2714
mentee_71773c13,2,3,1,2,0.25,0.325,0.175,0.25
mentee_e140b8de,2,4,1,1,0.25,0.4,0.175,0.175
mentee_515a6b9f,1,4,5,1,0.1545,0.3182,0.3727,0.1545
mentee_55422b1c,1,4,5,1,0.1545,0.3182,0.3727,0.1545
mentee_5cd16acf,1,3,5,2,0.1545,0.2636,0.3727,0.2091
mentee_e58f8548,1,4,3,2,0.16,0.34,0.28,0.22
mentee_2671fbe1,2,3,4,2,0.2091,0.2636,0.3182,0.2091
mentee_882a78e7,2,5,2,1,0.22,0.4,0.22,0.16
mentee_961961e1,1,3,3,4,0.1545,0.2636,0.2636,0.3182
mentee_1f7b5bc8,4,5,3,5,0.2412,0.2765,0.2059,0.2765
mentee_e9191533,4,2,5,2,0.2846,0.1923,0.3308,0.1923
mentee_85f46319,5,5,4,5,0.2579,0.2579,0.2263,0.2579
mentee_0db53d85,4,5,5,3,0.2412,0.2765,0.2765,0.2059
mentee_75aea632,3,4,5,2,0.2286,0.2714,0.3143,0.1857
mentee_49dc236c,1,4,3,3,0.1545,0.3182,0.2636,0.2636
mentee_a5fbd5bb,4,3,2,3,0.3,0.25,0.2,0.25
mentee_3b3462ed,1,1,5,2,0.1667,0.1667,0.4333,0.2333
mentee_f5305ec6,3,3,4,5,0.22,0.22,0.26,0.3
mentee_88d09b45,1,4,4,3,0.15,0.3,0.3,0.25
mentee_cf0b1531,1,4,3,5,0.1462,0.2846,0.2385,0.3308
mentee_9a5bd6db,2,1,5,3,0.2091,0.1545,0.3727,0.2636
mentee_94f9a36d,2,4,5,4,0.18,0.26,0.3,0.26
mentee_ce9144d5,4,2,2,4,0.3,0.2,0.2,0.3
mentee_3a665066,4,2,3,1,0.34,0.22,0.28,0.16
mentee_463b5136,4,2,5,5,0.25,0.175,0.2875,0.2875
mentee_a7c5418f,3,3,5,3,0.2286,0.2286,0.3143,0.2286
mentee_5dab24b9,4,2,1,2,0.3667,0.2333,0.1667,0.2333
mentee_fa4c64f3,2,3,1,4,0.22,0.28,0.16,0.34
mentee_208aac11,5,4,3,5,0.2765,0.2412,0.2059,0.2765
mentee_6a90c8ba,4,2,3,1,0.34,0.22,0.28,0.16
mentee_83a79eca,2,1,5,1,0.2333,0.1667,0.4333,0.1667
mentee_5e7fae62,2,1,3,3,0.2333,0.1667,0.3,0.3
mentee_92392bd5,2,4,1,2,0.2333,0.3667,0.1667,0.2333
mentee_be67caa3,1,2,1,4,0.175,0.25,0.175,0.4
mentee_bb7c9f30,2,3,4,3,0.2,0.25,0.3,0.25
mentee_28c89ace,4,3,4,1,0.3,0.25,0.3,0.15
mentee_cd0422fc,3,1,2,1,0.3571,0.1857,0.2714,0.1857
mentee_fc9eb8a7,3,4,1,5,0.2385,0.2846,0.1462,0.3308
mentee_00e6def0,4,2,2,3,0.3182,0.2091,0.2091,0.2636
mentee_ea905475,4,1,1,2,0.4,0.175,0.175,0.25
mentee_b3c150a1,4,4,2,1,0.3182,0.3182,0.2091,0.1545
mentee_c19a228b,2,4,1,5,0.2,0.3,0.15,0.35
mentee_f24c48a5,2,4,4,3,0.1923,0.2846,0.2846,0.2385
mentee_ccecf9b9,3,2,1,5,0.2636,0.2091,0.1545,0.3727
mentee_80d55838,5,1,3,4,0.3308,0.1462,0.2385,0.2846
mentee_5a846cf7,3,2,3,1,0.3,0.2333,0.3,0.1667
mentee_3f21c550,2,1,2,4,0.2333,0.1667,0.2333,0.3667
mentee_bc3cf53e,3,1,2,3,0.3,0.1667,0.2333,0.3
mentee_458b7fa5,5,1,4,2,0.35,0.15,0.3,0.2
mentee_f632e285,1,1,5,4,0.1545,0.1545,0.3727,0.3182
mentee_ffdd18f8,5,2,3,1,0.3727,0.2091,0.2636,0.1545
mentee_b9a704cc,2,2,4,1,0.2333,0.2333,0.3667,0.1667
mentee_feb6af87,5,3,1,1,0.4,0.28,0.16,0.16
mentee_09a9bcbf,3,2,5,1,0.2636,0.2091,0.3727,0.1545
mentee_15c5a2d7,2,4,2,3,0.2091,0.3182,0.2091,0.2636
mentee_3759a103,5,3,4,2,0.3143,0.2286,0.2714,0.1857
mentee_95e08d32,1,4,3,2,0.16,0.34,0.28,0.22
mentee_2c86c088,3,1,4,4,0.25,0.15,0.3,0.3
mentee_06bd5d22,5,3,5,4,0.2765,0.2059,0.2765,0.2412
mentee_4ba90a39,2,5,2,5,0.1857,0.3143,0.1857,0.3143
mentee_09e1515e,3,3,4,3,0.2385,0.2385,0.2846,0.2385
mentee_0f0df60e,5,5,2,1,0.3308,0.3308,0.1923,0.1462
mentee_3aac3628,5,2,4,3,0.3143,0.1857,0.2714,0.2286
mentee_b5959078,3,5,3,4,0.22,0.3,0.22,0.26
mentee_470a5c9a,1,5,4,2,0.15,0.35,0.3,0.2
mentee_098767cf,1,5,3,5,0.1429,0.3143,0.2286,0.3143
mentee_2cbbcb4b,2,3,1,5,0.2091,0.2636,0.1545,0.3727
mentee_50223c27,4,2,5,4,0.26,0.18,0.3,0.26
mentee_e8b9b5f8,5,2,5,3,0.3,0.18,0.3,0.22
mentee_f7607dd3,3,4,3,1,0.2636,0.3182,0.2636,0.1545
mentee_5038bb2c,1,5,1,1,0.175,0.475,0.175,0.175
mentee_c06a44b6,2,2,1,2,0.2714,0.2714,0.1857,0.2714
mentee_887c7896,1,4,2,1,0.175,0.4,0.25,0.175
mentee_4a3e34d3,1,5,4,4,0.1429,0.3143,0.2714,0.2714
mentee_1e9a56f8,5,5,5,3,0.2667,0.2667,0.2667,0.2
mentee_93a4faef,1,3,2,5,0.1545,0.2636,0.2091,0.3727
mentee_91f3d32c,1,1,2,4,0.175,0.175,0.25,0.4
mentee_13380960,1,4,1,3,0.1667,0.3667,0.1667,0.3
mentee_587e11fb,5,4,3,1,0.3308,0.2846,0.2385,0.1462
mentee_93aaac17,5,3,5,1,0.3143,0.2286,0.3143,0.1429
mentee_0264ce53,1,3,1,2,0.1857,0.3571,0.1857,0.2714
mentee_4cd61df1,5,1,1,2,0.4333,0.1667,0.1667,0.2333
mentee_bd1dc6a5,5,4,2,2,0.3308,0.2846,0.1923,0.1923
mentee_37710e62,5,2,5,2,0.3143,0.1857,0.3143,0.1857
mentee_62c32ae0,5,5,4,1,0.3,0.3,0.26,0.14
mentee_f87376bf,5,3,4,4,0.2875,0.2125,0.25,0.25
mentee_e084621c,1,2,2,5,0.16,0.22,0.22,0.4
mentee_b190133d,4,5,3,2,0.2714,0.3143,0.2286,0.1857
mentee_1e53d039,5,5,4,3,0.2765,0.2765,0.2412,0.2059
mentee_d0593e1f,3,5,3,3,0.2286,0.3143,0.2286,0.2286
mentee_7281bd14,4,4,3,5,0.25,0.25,0.2125,0.2875
mentee_6fda977d,2,5,5,2,0.1857,0.3143,0.3143,0.1857
mentee_b10879d1,4,5,3,3,0.26,0.3,0.22,0.22
mentee_b1bf8316,4,4,4,1,0.2846,0.2846,0.2846,0.1462
mentee_b0aff636,1,3,5,1,0.16,0.28,0.4,0.16
mentee_047b7195,5,2,3,1,0.3727,0.2091,0.2636,0.1545
mentee_911de2ac,3,2,2,3,0.28,0.22,0.22,0.28
mentee_ca6954b8,1,3,5,5,0.1429,0.2286,0.3143,0.3143
mentee_06ed92aa,5,5,5,2,0.2765,0.2765,0.2765,0.1706
mentee_26ed4d13,1,1,4,3,0.1667,0.1667,0.3667,0.3
mentee_dfd9bae8,2,2,3,3,0.22,0.22,0.28,0.28
mentee_64ae8404,5,2,2,3,0.35,0.2,0.2,0.25
mentee_f9f06e7f,3,1,5,4,0.2385,0.1462,0.3308,0.2846
mentee_6e20cdca,5,2,1,3,0.3727,0.2091,0.1545,0.2636
mentee_dbf55d6c,4,2,4,5,0.26,0.18,0.26,0.3
mentee_98c09064,1,5,3,1,0.16,0.4,0.28,0.16
mentee_f3b05611,5,4,1,1,0.3727,0.3182,0.1545,0.1545
mentee_eb652574,3,3,4,4,0.2286,0.2286,0.2714,0.2714
mentee_6c425732,1,2,5,1,0.1667,0.2333,0.4333,0.1667
mentee_78433555,4,1,3,5,0.2846,0.1462,0.2385,0.3308
mentee_161345f8,1,3,5,5,0.1429,0.2286,0.3143,0.3143
mentee_b6217a63,2,3,5,2,0.2,0.25,0.35,0.2
mentee_16bc6d34,2,1,4,4,0.2091,0.1545,0.3182,0.3182
mentee_7b546fb3,5,5,5,1,0.2875,0.2875,0.2875,0.1375
mentee_1b737540,2,4,3,4,0.1923,0.2846,0.2385,0.2846
mentee_b72e1e62,2,2,3,1,0.25,0.25,0.325,0.175
mentee_fb816300,4,5,1,5,0.26,0.3,0.14,0.3
mentee_8d1a1bba,4,3,1,4,0.3,0.25,0.15,0.3
mentee_6457ef0d,5,4,2,2,0.3308,0.2846,0.1923,0.1923
mentee_6ecbcac2,4,5,2,4,0.26,0.3,0.18,0.26
mentee_42a593b0,4,5,2,5,0.25,0.2875,0.175,0.2875
mentee_de68594b,5,5,2,2,0.3143,0.3143,0.1857,0.1857
mentee_e64edfd2,1,3,4,3,0.1545,0.2636,0.3182,0.2636
mentee_e26a59ce,5,1,1,4,0.3727,0.1545,0.1545,0.3182
mentee_b5f8e0fc,4,3,3,2,0.3,0.25,0.25,0.2
mentee_0b629e40,3,3,5,1,0.25,0.25,0.35,0.15
mentee_6b37f8df,3,2,3,5,0.2385,0.1923,0.2385,0.3308
mentee_d84c1caa,4,5,2,4,0.26,0.3,0.18,0.26
mentee_5012c5ee,1,2,2,3,0.175,0.25,0.25,0.325
mentee_edba8d0c,2,1,1,1,0.34,0.22,0.22,0.22
mentee_af1d4fd0,2,5,2,3,0.2,0.35,0.2,0.25
mentee_8b5d7d91,1,3,1,3,0.175,0.325,0.175,0.325
mentee_365ab827,4,4,1,3,0.3,0.3,0.15,0.25
mentee_21e872bc,2,5,2,2,0.2091,0.3727,0.2091,0.2091
mentee_51bc66f6,5,5,3,5,0.2667,0.2667,0.2,0.2667
mentee_0a88ea6a,4,5,2,1,0.3,0.35,0.2,0.15
mentee_c4aafa1e,4,5,5,1,0.26,0.3,0.3,0.14
mentee_b213d74a,3,2,1,3,0.3,0.2333,0.1667,0.3
mentee_9bd9c9c6,2,5,3,1,0.2091,0.3727,0.2636,0.1545
mentee_2c3322fd,4,1,1,4,0.34,0.16,0.16,0.34
mentee_acd8d175,3,3,1,1,0.325,0.325,0.175,0.175
mentee_10f4f22b,3,4,2,4,0.2385,0.2846,0.1923,0.2846
mentee_787cafc5,5,1,3,4,0.3308,0.1462,0.2385,0.2846
mentee_4a4fe572,5,5,1,2,0.3308,0.3308,0.1462,0.1923
mentee_6e678376,2,5,4,5,0.175,0.2875,0.25,0.2875
mentee_da233cf7,1,1,2,5,0.1667,0.1667,0.2333,0.4333
mentee_0bdcacca,3,3,4,4,0.2286,0.2286,0.2714,0.2714
mentee_9d2ed4d7,2,1,3,3,0.2333,0.1667,0.3,0.3
mentee_d0a2f4ec,3,3,2,5,0.2385,0.2385,0.1923,0.3308
mentee_e318949a,3,1,3,4,0.2636,0.1545,0.2636,0.3182
mentee_a1c6b4d0,1,5,3,2,0.1545,0.3727,0.2636,0.2091
mentee_29d55463,2,3,4,2,0.2091,0.2636,0.3182,0.2091
mentee_d5d91953,1,4,5,5,0.14,0.26,0.3,0.3
mentee_c3e56c66,2,4,2,5,0.1923,0.2846,0.1923,0.3308
mentee_9fa4c2b4,2,4,3,5,0.1857,0.2714,0.2286,0.3143
mentee_1526d4a1,3,4,5,2,0.2286,0.2714,0.3143,0.1857
mentee_b1f5dd85,2,2,5,5,0.1857,0.1857,0.3143,0.3143
mentee_bc04eb81,2,2,3,5,0.2,0.2,0.25,0.35
mentee_71f5faa7,2,4,2,5,0.1923,0.2846,0.1923,0.3308
mentee_26612dae,2,3,1,5,0.2091,0.2636,0.1545,0.3727
